State,County,UID,FIPS,Lat,Long,Date,#Covid_cases
Texas,Bandera,84048019,48019.0,29.74619598,-99.24598147,2020-01-31,0
Texas,Bastrop,84048021,48021.0,30.10370699,-97.31206354,2020-01-31,0
Texas,Baylor,84048023,48023.0,33.61640794,-99.21352901,2020-01-31,0
Texas,Bee,84048025,48025.0,28.41761668,-97.74215593,2020-01-31,0
Texas,Bell,84048027,48027.0,31.03736027,-97.4785025,2020-01-31,0
Texas,Bexar,84048029,48029.0,29.44928723,-98.52019748,2020-01-31,0
Texas,Blanco,84048031,48031.0,30.26640707,-98.3999852,2020-01-31,0
Texas,Borden,84048033,48033.0,32.74363984,-101.43165090000001,2020-01-31,0
Texas,Bosque,84048035,48035.0,31.89978581,-97.63613524,2020-01-31,0
Texas,Bowie,84048037,48037.0,33.44626922,-94.41834132,2020-01-31,0
Texas,Brazoria,84048039,48039.0,29.18757369,-95.44563172,2020-01-31,0
Texas,Brazos,84048041,48041.0,30.663644800000004,-96.30205577,2020-01-31,0
Texas,Brewster,84048043,48043.0,29.81008251,-103.25203259999999,2020-01-31,0
Texas,Briscoe,84048045,48045.0,34.53026962,-101.2084947,2020-01-31,0
Texas,Brooks,84048047,48047.0,27.03103197,-98.21808402,2020-01-31,0
Texas,Brown,84048049,48049.0,31.77430356,-98.99907113,2020-01-31,0
Texas,Burleson,84048051,48051.0,30.49273808,-96.62158484,2020-01-31,0
Texas,Burnet,84048053,48053.0,30.78801353,-98.181887,2020-01-31,0
Texas,Caldwell,84048055,48055.0,29.83668859,-97.61814775,2020-01-31,0
Texas,Calhoun,84048057,48057.0,28.47048236,-96.61633945,2020-01-31,0
Texas,Callahan,84048059,48059.0,32.29760619,-99.37326312,2020-01-31,0
Texas,Cameron,84048061,48061.0,26.14524221,-97.48140372,2020-01-31,0
Texas,Camp,84048063,48063.0,32.97195142,-94.97790104,2020-01-31,0
Texas,Carson,84048065,48065.0,35.40365929,-101.35426690000001,2020-01-31,0
Texas,Cass,84048067,48067.0,33.07499881,-94.34646905,2020-01-31,0
Texas,Castro,84048069,48069.0,34.53016752,-102.2617243,2020-01-31,0
Texas,Chambers,84048071,48071.0,29.70972016,-94.67154501,2020-01-31,0
Texas,Cherokee,84048073,48073.0,31.837258000000002,-95.16559897,2020-01-31,0
Texas,Childress,84048075,48075.0,34.529304100000004,-100.2077916,2020-01-31,0
Texas,Clay,84048077,48077.0,33.78686685,-98.20771198,2020-01-31,0
Texas,Cochran,84048079,48079.0,33.60425307,-102.82844990000001,2020-01-31,0
Texas,Coke,84048081,48081.0,31.88911733,-100.5297533,2020-01-31,0
Texas,Coleman,84048083,48083.0,31.76736834,-99.45240766,2020-01-31,0
Texas,Collin,84048085,48085.0,33.18820114,-96.57264368,2020-01-31,0
Texas,Collingsworth,84048087,48087.0,34.96489496,-100.27001109999999,2020-01-31,0
Texas,Colorado,84048089,48089.0,29.622097999999998,-96.5273805,2020-01-31,0
Texas,Comal,84048091,48091.0,29.80811278,-98.27647225,2020-01-31,0
Texas,Comanche,84048093,48093.0,31.94854689,-98.55876441,2020-01-31,0
Texas,Concho,84048095,48095.0,31.32635934,-99.86473038,2020-01-31,0
Texas,Cooke,84048097,48097.0,33.63979567,-97.21240912,2020-01-31,0
Texas,Coryell,84048099,48099.0,31.39078397,-97.79936155,2020-01-31,0
Texas,Cottle,84048101,48101.0,34.07783319,-100.27850620000001,2020-01-31,0
Texas,Crane,84048103,48103.0,31.43052248,-102.5143314,2020-01-31,0
Texas,Crockett,84048105,48105.0,30.72367027,-101.4134238,2020-01-31,0
Texas,Crosby,84048107,48107.0,33.61431553,-101.30003640000001,2020-01-31,0
Texas,Culberson,84048109,48109.0,31.44506775,-104.5185739,2020-01-31,0
Texas,Dallam,84048111,48111.0,36.27787176,-102.60207249999999,2020-01-31,0
Texas,Dallas,84048113,48113.0,32.76670599,-96.77796049999999,2020-01-31,0
Texas,Dawson,84048115,48115.0,32.74255572,-101.94772420000001,2020-01-31,0
Texas,DeWitt,84048123,48123.0,29.08101855,-97.35681170000001,2020-01-31,0
Texas,Deaf Smith,84048117,48117.0,34.96522957,-102.6054267,2020-01-31,0
Texas,Delta,84048119,48119.0,33.38570922,-95.66921122,2020-01-31,0
Texas,Denton,84048121,48121.0,33.20521901,-97.11691153,2020-01-31,0
Texas,Dickens,84048125,48125.0,33.61616822,-100.7788855,2020-01-31,0
Texas,Dimmit,84048127,48127.0,28.42270064,-99.75645095,2020-01-31,0
Texas,Donley,84048129,48129.0,34.96517499,-100.8140093,2020-01-31,0
Texas,Duval,84048131,48131.0,27.68184592,-98.50864568,2020-01-31,0
Texas,Eastland,84048133,48133.0,32.32743996,-98.83243566,2020-01-31,0
Texas,Ector,84048135,48135.0,31.86898877,-102.54294279999999,2020-01-31,0
Texas,Edwards,84048137,48137.0,29.98202582,-100.304252,2020-01-31,0
Texas,El Paso,84048141,48141.0,31.76980765,-106.23632749999999,2020-01-31,0
Texas,Ellis,84048139,48139.0,32.34894117,-96.79371841,2020-01-31,0
Texas,Erath,84048143,48143.0,32.23602653,-98.21773417,2020-01-31,0
Texas,Falls,84048145,48145.0,31.25350609,-96.93630086,2020-01-31,0
Texas,Fannin,84048147,48147.0,33.59564294,-96.10751083,2020-01-31,0
Texas,Fayette,84048149,48149.0,29.87788372,-96.92076062,2020-01-31,0
Texas,Fisher,84048151,48151.0,32.74281316,-100.40193020000001,2020-01-31,0
Texas,Floyd,84048153,48153.0,34.07227468,-101.3031546,2020-01-31,0
Texas,Foard,84048155,48155.0,33.97308618,-99.7767797,2020-01-31,0
Texas,Fort Bend,84048157,48157.0,29.52704478,-95.77219463,2020-01-31,0
Texas,Franklin,84048159,48159.0,33.17653242,-95.21917243,2020-01-31,0
Texas,Freestone,84048161,48161.0,31.70422788,-96.15072516,2020-01-31,0
Texas,Frio,84048163,48163.0,28.86751206,-99.10804207,2020-01-31,0
Texas,Gaines,84048165,48165.0,32.74055318,-102.6353295,2020-01-31,0
Texas,Galveston,84048167,48167.0,29.40167322,-94.90469073,2020-01-31,0
Texas,Garza,84048169,48169.0,33.17969345,-101.2984114,2020-01-31,0
Texas,Gillespie,84048171,48171.0,30.31824095,-98.94676915,2020-01-31,0
Texas,Glasscock,84048173,48173.0,31.86942909,-101.5207776,2020-01-31,0
Texas,Goliad,84048175,48175.0,28.65696592,-97.42760647,2020-01-31,0
Texas,Gonzales,84048177,48177.0,29.45634206,-97.49424032,2020-01-31,0
Texas,Gray,84048179,48179.0,35.40081878,-100.8129222,2020-01-31,0
Texas,Grayson,84048181,48181.0,33.62744998,-96.67753461,2020-01-31,0
Texas,Gregg,84048183,48183.0,32.47940482,-94.81591935,2020-01-31,0
Texas,Grimes,84048185,48185.0,30.54579585,-95.98902499,2020-01-31,0
Texas,Guadalupe,84048187,48187.0,29.58165339,-97.94786822,2020-01-31,0
Texas,Hale,84048189,48189.0,34.07044901,-101.82681140000001,2020-01-31,0
Texas,Hall,84048191,48191.0,34.5307555,-100.68138520000001,2020-01-31,0
Texas,Hamilton,84048193,48193.0,31.70470573,-98.11083887,2020-01-31,0
Texas,Hansford,84048195,48195.0,36.27743284,-101.3545796,2020-01-31,0
Texas,Hardeman,84048197,48197.0,34.28944521,-99.74632408,2020-01-31,0
Texas,Hardin,84048199,48199.0,30.33364686,-94.38931817,2020-01-31,0
Texas,Harris,84048201,48201.0,29.85864939,-95.39339521,2020-01-31,0
Texas,Harrison,84048203,48203.0,32.54935988,-94.36934071,2020-01-31,0
Texas,Hartley,84048205,48205.0,35.84008013,-102.6029022,2020-01-31,0
Texas,Haskell,84048207,48207.0,33.17823584,-99.73037358,2020-01-31,0
Texas,Hays,84048209,48209.0,30.05669873,-98.02944344,2020-01-31,0
Texas,Hemphill,84048211,48211.0,35.83764858,-100.2703577,2020-01-31,0
Texas,Henderson,84048213,48213.0,32.21128872,-95.85846587,2020-01-31,0
Texas,Hidalgo,84048215,48215.0,26.39418217,-98.18299696,2020-01-31,0
Texas,Hill,84048217,48217.0,31.99045053,-97.13423143,2020-01-31,0
Texas,Hockley,84048219,48219.0,33.60771256,-102.3431676,2020-01-31,0
Texas,Hood,84048221,48221.0,32.42990927,-97.83242024,2020-01-31,0
Texas,Hopkins,84048223,48223.0,33.14875072,-95.56351139,2020-01-31,0
Texas,Houston,84048225,48225.0,31.31925973,-95.42226208,2020-01-31,0
Texas,Howard,84048227,48227.0,32.30621324,-101.4356444,2020-01-31,0
Texas,Hudspeth,84048229,48229.0,31.45628381,-105.388178,2020-01-31,0
Texas,Hunt,84048231,48231.0,33.12351514,-96.08551032,2020-01-31,0
Texas,Hutchinson,84048233,48233.0,35.84006574,-101.3546643,2020-01-31,0
Texas,Irion,84048235,48235.0,31.30375559,-100.982439,2020-01-31,0
Texas,Jack,84048237,48237.0,33.23377248,-98.17283469,2020-01-31,0
Texas,Jackson,84048239,48239.0,28.95472367,-96.57749563,2020-01-31,0
Texas,Jasper,84048241,48241.0,30.74685667,-94.02667579,2020-01-31,0
Texas,Jeff Davis,84048243,48243.0,30.71490589,-104.1399973,2020-01-31,0
Texas,Jefferson,84048245,48245.0,29.8832777,-94.16434171,2020-01-31,0
Texas,Jim Hogg,84048247,48247.0,27.04453923,-98.69681870000001,2020-01-31,0
Texas,Jim Wells,84048249,48249.0,27.73103938,-98.0904705,2020-01-31,0
Texas,Johnson,84048251,48251.0,32.37877812,-97.36615819,2020-01-31,0
Texas,Jones,84048253,48253.0,32.73997145,-99.87861576,2020-01-31,0
Texas,Karnes,84048255,48255.0,28.90705334,-97.85960149,2020-01-31,0
Texas,Kaufman,84048257,48257.0,32.599141700000004,-96.28734728,2020-01-31,0
Texas,Kendall,84048259,48259.0,29.94414155,-98.7113588,2020-01-31,0
Texas,Kenedy,84048261,48261.0,26.92601662,-97.66413984,2020-01-31,0
Texas,Kent,84048263,48263.0,33.18104136,-100.7780939,2020-01-31,0
Texas,Kerr,84048265,48265.0,30.06040006,-99.34930144,2020-01-31,0
Texas,Kimble,84048267,48267.0,30.48678918,-99.74856473,2020-01-31,0
Texas,King,84048269,48269.0,33.61643847,-100.2558057,2020-01-31,0
Texas,Kinney,84048271,48271.0,29.34967888,-100.41866379999999,2020-01-31,0
Texas,Kleberg,84048273,48273.0,27.42435506,-97.69894948,2020-01-31,0
Texas,Knox,84048275,48275.0,33.60519951,-99.74229059999999,2020-01-31,0
Texas,La Salle,84048283,48283.0,28.34453111,-99.09908775,2020-01-31,0
Texas,Lamar,84048277,48277.0,33.66981763,-95.57404777,2020-01-31,0
Texas,Lamb,84048279,48279.0,34.06859623,-102.35162890000001,2020-01-31,0
Texas,Lampasas,84048281,48281.0,31.19531316,-98.24206613,2020-01-31,0
Texas,Lavaca,84048285,48285.0,29.38508402,-96.93186692,2020-01-31,0
Texas,Lee,84048287,48287.0,30.31120597,-96.97045773,2020-01-31,0
Texas,Leon,84048289,48289.0,31.29872538,-95.9936328,2020-01-31,0
Texas,Liberty,84048291,48291.0,30.15152688,-94.81205615,2020-01-31,0
Texas,Limestone,84048293,48293.0,31.5454767,-96.58095444,2020-01-31,0
Texas,Lipscomb,84048295,48295.0,36.27783108,-100.27331509999999,2020-01-31,0
Texas,Live Oak,84048297,48297.0,28.35101362,-98.1246786,2020-01-31,0
Texas,Llano,84048299,48299.0,30.70645047,-98.68475262,2020-01-31,0
Texas,Loving,84048301,48301.0,31.84947612,-103.5818571,2020-01-31,0
Texas,Lubbock,84048303,48303.0,33.61008596,-101.82047890000001,2020-01-31,0
Texas,Lynn,84048305,48305.0,33.17657705,-101.8162849,2020-01-31,0
Texas,Madison,84048313,48313.0,30.96694679,-95.93003775,2020-01-31,0
Texas,Marion,84048315,48315.0,32.79868409,-94.35661230000001,2020-01-31,0
Texas,Martin,84048317,48317.0,32.30600051,-101.9513518,2020-01-31,0
Texas,Mason,84048319,48319.0,30.71780434,-99.22629416,2020-01-31,0
Texas,Matagorda,84048321,48321.0,28.81955746,-96.01230294,2020-01-31,0
Texas,Maverick,84048323,48323.0,28.7429195,-100.3157686,2020-01-31,0
Texas,McCulloch,84048307,48307.0,31.1925468,-99.34682807,2020-01-31,0
